,date,open,high,low,close,volume
2294,2022-02-04 09:59:00+05:30,3813.0,3813.0,3807.0,3809.6,4674
2295,2022-02-04 10:00:00+05:30,3809.6,3811.55,3802.1,3806.0,6967
2296,2022-02-04 10:01:00+05:30,3805.85,3808.0,3804.95,3807.0,5285
2297,2022-02-04 10:02:00+05:30,3805.9,3808.45,3805.9,3807.95,1978
2298,2022-02-04 10:03:00+05:30,3807.5,3809.0,3807.0,3808.0,3321
2299,2022-02-04 10:04:00+05:30,3808.0,3808.0,3806.35,3806.7,947
2300,2022-02-04 10:05:00+05:30,3806.7,3806.7,3803.05,3804.8,3575
2301,2022-02-04 10:06:00+05:30,3804.8,3804.8,3798.0,3798.25,13779
2302,2022-02-04 10:07:00+05:30,3798.25,3800.3,3797.0,3799.0,6022
2303,2022-02-04 10:08:00+05:30,3799.0,3803.0,3799.0,3802.95,3449
2304,2022-02-04 10:09:00+05:30,3802.95,3803.8,3799.0,3800.5,3935
2305,2022-02-04 10:10:00+05:30,3801.2,3801.2,3797.3,3797.95,4554
2306,2022-02-04 10:11:00+05:30,3797.95,3803.35,3797.6,3801.55,2695
2307,2022-02-04 10:12:00+05:30,3801.6,3802.75,3800.0,3800.35,2202
2308,2022-02-04 10:13:00+05:30,3800.0,3801.0,3798.6,3801.0,4263
2309,2022-02-04 10:14:00+05:30,3800.45,3803.35,3800.45,3802.55,2869
2310,2022-02-04 10:15:00+05:30,3802.55,3802.55,3800.85,3800.85,2015
2311,2022-02-04 10:16:00+05:30,3800.85,3802.75,3799.2,3799.65,5798
2312,2022-02-04 10:17:00+05:30,3799.65,3799.65,3797.4,3798.25,4425
2313,2022-02-04 10:18:00+05:30,3797.5,3800.0,3797.2,3798.45,4120
2314,2022-02-04 10:19:00+05:30,3798.0,3798.4,3796.5,3796.5,2586
2315,2022-02-04 10:20:00+05:30,3797.1,3798.65,3795.0,3798.45,8026
2316,2022-02-04 10:21:00+05:30,3798.45,3800.0,3795.8,3799.25,3847
2317,2022-02-04 10:22:00+05:30,3799.25,3800.0,3797.3,3798.7,5802
2318,2022-02-04 10:23:00+05:30,3798.75,3798.75,3796.35,3797.85,3157
2319,2022-02-04 10:24:00+05:30,3797.85,3803.45,3797.0,3802.15,18323
2320,2022-02-04 10:25:00+05:30,3802.15,3802.15,3800.0,3800.05,3829
2321,2022-02-04 10:26:00+05:30,3800.0,3802.0,3799.0,3802.0,3515
2322,2022-02-04 10:27:00+05:30,3802.0,3802.0,3800.35,3801.65,1737
2323,2022-02-04 10:28:00+05:30,3801.65,3801.65,3799.0,3800.0,4682
2324,2022-02-04 10:29:00+05:30,3800.0,3801.95,3800.0,3801.65,2391
2325,2022-02-04 10:30:00+05:30,3801.65,3801.65,3800.25,3801.05,2343
2326,2022-02-04 10:31:00+05:30,3801.05,3802.0,3800.7,3801.9,3587
2327,2022-02-04 10:32:00+05:30,3801.9,3801.9,3801.05,3801.45,1987
2328,2022-02-04 10:33:00+05:30,3801.45,3804.4,3801.05,3803.0,5995
2329,2022-02-04 10:34:00+05:30,3803.95,3804.65,3803.0,3804.0,3081
